job_title,company_name,required_skills,salary_range,location,experience_required,date_posted,job_url,salary_low,salary_high,salary_low_lpa,salary_high_lpa,salary_clean,min_experience,skills_count
"Finance Manager, Incentives & Data Analytics",Autodesk,"Financial Analysis, Data Analytics, Incentive Compensation, CRM Systems, Communication Skills",Not disclosed,Bengaluru,8 - 12 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/finance-manager-incentives-data-analytics-autodesk-bengaluru-8-12-years-jobid-oWSNZArnBslzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,8,5
"Principal Engineer, Data Analytics (Genai)",Google,"AI/ML Modeling, Natural Language Processing, Cloud Computing Expertise, Data Analytics Solutions, Technical Leadership",Not disclosed,Seattle,1 - 2 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/principal-engineer-data-analytics-genai-google-seattle-1-2-years-jobid-gXeauBLdZhNzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Technical Solutions Engineer, Data Analytics",Google,"Data Analytics, Customer Support, Networking Fundamentals, Coding/Scripting, Debugging Techniques",Not disclosed,Pune,2 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/technical-solutions-engineer-data-analytics-google-pune-bengaluru-2-5-years-jobid-yzDa28k9__SLASH__01zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
"Customer Engineer Platform, Data Analytics",Google,"Data Analytics Expertise, Cloud Computing Solutions, Technical Sales Consulting, Architecture Design Skills, Customer Relationship Management",Not disclosed,Australia,10 - 13 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/customer-engineer-platform-data-analytics-google-australia-10-13-years-jobid-HR7UG3NNQLlzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Head Of Data Analytics And Geo, Public Sector",Google,"Data Analytics Management, Leadership In Technical Teams, Geospatial Data Expertise, Customer Engagement Strategies, Technical Strategy Execution",Not disclosed,United States of America (USA),1 - 4 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/head-of-data-analytics-and-geo-public-sector-google-united-states-of-america-usa-1-4-years-jobid-4+coyS63V6dzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Data Analytics Sales Specialist, Google Cloud",Google,"Data Analytics Expertise, Business Strategy Development, Customer Engagement Skills, Stakeholder Influencing, Technical Solutions Knowledge",Not disclosed,Australia,10 - 13 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-google-cloud-google-australia-10-13-years-jobid-jqCrDYquD15zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Customer Engineer, Data Analytics, Google Cloud",Google,"Cloud Native Architecture, Big Data Technologies, Technical Stakeholder Engagement, Programming Languages Proficiency, Data Analytics Consultation",Not disclosed,Other City(s) in New York,9 - 10 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/customer-engineer-data-analytics-google-cloud-google-other-citys-in-new-york-9-10-years-jobid-AoQT79wteMNzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,9,5
"Data Analytics Sales Specialist, Google Cloud",Google,"Data Analytics Expertise, Sales Strategy Development, Stakeholder Engagement, Cloud Solutions Knowledge, Problem Solving Skills",Not disclosed,Bengaluru,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-google-cloud-google-bengaluru-gurugram-mumbai-1-4-years-jobid-06ulvQFjioZzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
Es Data Analytics Advisor Job Details | Exxonmobil,Exxonmobil,"Data Visualization Expertise, SQL Proficiency, Analytical Thinking, Dashboard Creation, Business Analytics Knowledge",Not disclosed,Bengaluru,3 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/es-data-analytics-advisor-job-details-exxonmobil-exxonmobil-bengaluru-mumbai-3-5-years-jobid-C3AkmF1+GPlzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
"Technical Program Manager, Data Analytics, Measured Work",Google,Data Analytics Expertise   Technical Program Management   SQL Proficiency   Python And R   ERP Systems Knowledge,Not disclosed,Mexico,2 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/technical-program-manager-data-analytics-measured-work-google-mexico-2-5-years-jobid-ZN__SLASH__0XW7VULVzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,1
"Data Analytics Sales Specialist Manager, Google Cloud",Google,"Data Analytics Expertise, Sales Leadership Experience, Go To Market Strategy, Relationship Building, Problem Solving Skills",Not disclosed,Australia,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-manager-google-cloud-google-australia-1-4-years-jobid-GNcDlM0a3p9zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Cloud Technical Solutions Engineer Ii, Data Analytics",Google,"Data Analytics Expertise, ETL Development Skills, Coding Language Proficiency, Systems Administration Knowledge, Problem Solving Ability",Not disclosed,Poland,2 - 5 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/cloud-technical-solutions-engineer-ii-data-analytics-google-poland-2-5-years-jobid-S410x8JELFRzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
"Customer Engineering Manager, Data Analytics, Google Cloud",Google,"Cloud Native Architecture, Data Analytics Technologies, Influencing Stakeholders, Pre Sales Management, Team Leadership",Not disclosed,Australia,1 - 4 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/customer-engineering-manager-data-analytics-google-cloud-google-australia-1-4-years-jobid-aKWctJF7ldRzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Technical Solutions Developer, Data Analytics, Google Cloud",Google,"Technical Support Expertise, Coding And Debugging, Data Analytics Knowledge, Networking Fundamentals, Troubleshooting Skills",Not disclosed,Canada,9 - 12 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/technical-solutions-developer-data-analytics-google-cloud-google-canada-9-12-years-jobid-hP7znBthAgFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,9,5
"Data Analytics Sales Specialist Manager, Google Cloud",Google,"Sales Strategy Development, Data Analytics Expertise, Quota Management Experience, Team Leadership Skills, Strategic Relationship Building",Not disclosed,Australia,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-manager-google-cloud-google-australia-1-4-years-jobid-Jlu1ZGU1DG1zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Manager 2- Data Analytics - Power Bi, Tableau",Sun Pharma,"Power BI Expertise, Tableau Development, SAP Knowledge, Data Modeling, Dashboard Design",Not disclosed,India,5 - 8 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/-manager-2-data-analytics-power-bi-tableau-sun-pharma-india-5-8-years-jobid-GbhwBKsfJt1zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,5,5
"Senior Partner Marketing Manager, Data Analytics, Partnerships",Google,"Partner Marketing, Data Analytics, Campaign Execution, Influencing Stakeholders, Problem Solving",Not disclosed,Other City(s) in New York,9 - 12 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/senior-partner-marketing-manager-data-analytics-partnerships-google-other-citys-in-new-york-seattle-san-francisco-9-12-years-jobid-ja71Mw0e+DFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,9,5
"Technical Program Manager, Data Analytics, Measured Work",Google,"Technical Program Management, Data Analytics Expertise, SQL Knowledge, Python Proficiency, Supply Chain Analytics",Not disclosed,Mexico,2 - 5 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/technical-program-manager-data-analytics-measured-work-google-mexico-2-5-years-jobid-xU2hl4erP3BzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
"Technical Program Manager Ii, Data Analytics, Core",Google,"Data Analytics Expertise, SQL Proficiency, Risk Management, Program Management, Cross Functional Collaboration",Not disclosed,United States of America (USA),2 - 5 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/technical-program-manager-ii-data-analytics-core-google-united-states-of-america-usa-2-5-years-jobid-rOUzqYVLb95zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
"Cloud Technical Solutions Engineer Ii, Data Analytics",Google,Data Analytics   ETL Development   Code Debugging   Web Technologies   Customer Advocacy,Not disclosed,Poland,2 - 5 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/cloud-technical-solutions-engineer-ii-data-analytics-google-poland-2-5-years-jobid-shSWKJS__SLASH__PjNzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,1
"Data Analytics Sales Specialist, Strategic Consumer Platform",Google,"Data Analytics Expertise, Stakeholder Management, Sales Strategy Development, Customer Relationship Management, Transformation Strategies",Not disclosed,San Francisco,10 - 13 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-strategic-consumer-platform-google-san-francisco-10-13-years-jobid-4kLVZi25dYVzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Data Engineer, Amazon Business Data Analytics And Insights (Abdai)",Amazon,"Data Modeling, ETL Design, SQL Proficiency, AWS Technologies, Data Integration",Not disclosed,Hyderabad,3 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-engineer-amazon-business-data-analytics-and-insights-abdai-amazon-hyderabadsecunderabad-3-4-years-jobid-EgkUUzcXr2tzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
"Data Analytics Sales Specialist, Google Cloud (English, German/Danish)",Google,"Sales Strategy Development, Data Analytics Technologies, Customer Relationship Management, Go To Market Execution, Cross Functional Collaboration",Not disclosed,Germany,7 - 10 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-google-cloud-english-germandanish-google-germany-denmark-7-10-years-jobid-o7kOWFyyB+VzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,7,5
"Cloud Technical Solutions Engineer, Data Analytics, Google Cloud",Google,"Data Analytics Expertise, Cloud Solutions Management, System Administration Knowledge, Programming & Scripting Skills, Customer Advocacy Experience",Not disclosed,Poland,5 - 8 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/cloud-technical-solutions-engineer-data-analytics-google-cloud-google-poland-5-8-years-jobid-IbWHXxkSH3JzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,5,5
"Data Analytics Sales Specialist, Google Cloud (English, Spanish)",Google,"Data Analytics Technology, Sales Strategy Development, Customer Relationship Management, Cross Functional Collaboration, Business Growth Achievement",Not disclosed,Peru,10 - 13 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-google-cloud-english-spanish-google-peru-10-13-years-jobid-Lqd9qwf0zjFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Data Analytics Sales Specialist, Google Cloud (English, German/Danish)",Google,"Data Analytics Sales, Relationship Management, Strategic Account Planning, Cloud Technologies, Team Collaboration",Not disclosed,Germany,7 - 10 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-google-cloud-english-germandanish-google-germany-denmark-7-10-years-jobid-HqkX+5VlYkRzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,7,5
"Data Analytics And Ai Sales Specialist, Google Cloud (French)",Google,"AI Technology Sales, Strategy Development, Relationship Management, Customer Solutions Identification, Cross Functional Collaboration",Not disclosed,France,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-and-ai-sales-specialist-google-cloud-french-google-france-1-4-years-jobid-pfgnMYpTXyNzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Data Analytics And Ai Sales Specialist, Google Cloud (French)",Google,"Data Analytics Expertise, AI Technology Sales, Customer Relationship Management, Strategic Account Planning, Problem Solving",Not disclosed,France,10 - 13 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/data-analytics-and-ai-sales-specialist-google-cloud-french-google-france-10-13-years-jobid-sp8neu__SLASH__u3jJzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Data Engineer, Amazon Business Data Analytics And Insights (Abdai)",Amazon,"Data Integration Solutions, ETL Pipeline Design, Cloud Data Architecture, SQL Proficiency, Reporting Tools Management",Not disclosed,Hyderabad,3 - 4 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-engineer-amazon-business-data-analytics-and-insights-abdai-amazon-hyderabadsecunderabad-3-4-years-jobid-VTGPj1+8__SLASH__kNzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,3,5
"Cloud Technical Solutions Engineer, Data Analytics, Google Cloud",Google,"Data Analytics Solutions, Debugging Code Skills, Linux/Unix Proficiency, Business Intelligence Tools, Customer Advocacy Experience",Not disclosed,Poland,5 - 8 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/cloud-technical-solutions-engineer-data-analytics-google-cloud-google-poland-5-8-years-jobid-CXeSTlgUGUFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,5,5
"Customer Engineering Manager, Data Analytics, Hcls, Google Cloud",Google,"Customer Engineering, Data Analytics, Technical Leadership, Cloud Architecture, Solution Strategy",Not disclosed,Other City(s) in New York,10 - 13 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/customer-engineering-manager-data-analytics-hcls-google-cloud-google-other-citys-in-new-york-atlanta-chicago-10-13-years-jobid-ttCrWFeOrFxzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
"Cloud Technical Solutions Engineer, Data Analytics, Google Cloud",Google,"Web Technologies, Data Analytics, Systems Administration, Machine Learning, Linux/Unix Expertise",Not disclosed,Poland,5 - 8 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/cloud-technical-solutions-engineer-data-analytics-google-cloud-google-poland-5-8-years-jobid-fcUXmb__SLASH__e3Y5zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,5,5
"Customer Solutions Engineer, High Touch, Data Analytics (English, Mandarin)",Google,"Technical Troubleshooting, Software Development, Data Analytics, Customer Advocacy, Coding Expertise",Not disclosed,Singapore,6 - 9 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/customer-solutions-engineer-high-touch-data-analytics-english-mandarin-google-singapore-6-9-years-jobid-t9__SLASH__GsoIWozFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,6,5
"Data Analytics Sales Specialist Iii, Google Cloud (Hebrew, English)",Google,"Data Analytics Expertise, Cloud Technologies Knowledge, Sales Strategy Development, Stakeholder Management, Big Data Solutions",Not disclosed,Israel,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-iii-google-cloud-hebrew-english-google-israel-1-4-years-jobid-g__SLASH__5a0LkBsGpzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Practice Customer Engineer, Data Analytics, Google Cloud (Cantonese, English)",Google,"Cloud Native Architecture, Data Processing Technologies, Technical Consultation Skills, Communication Proficiency, Stakeholder Engagement",Not disclosed,Hong Kong,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/practice-customer-engineer-data-analytics-google-cloud-cantonese-english-google-hong-kong-1-4-years-jobid-CQ6FNcJleD9zpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Data Analytics Sales Specialist Iii, Google Cloud (Hebrew, English)",Google,"Data Analytics Expertise, Sales Strategy Development, Customer Relationship Management, Big Data Technologies, Bilingual Communication Skills",Not disclosed,Israel,1 - 4 Yrs,2026-03-12,https://www.timesjobs.com/job-detail/data-analytics-sales-specialist-iii-google-cloud-hebrew-english-google-israel-1-4-years-jobid-T2aK8H1pOPhzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
"Practice Customer Engineer, Data Analytics, Google Cloud (Cantonese, English)",Google,"Cloud Native Architecture, Big Data Technologies, Data Visualization Tools, Customer Relationship Management, Technical Architecture Design",Not disclosed,Hong Kong,10 - 13 Yrs,2026-03-11,https://www.timesjobs.com/job-detail/practice-customer-engineer-data-analytics-google-cloud-cantonese-english-google-hong-kong-10-13-years-jobid-5MbGF6wKeVRzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,10,5
2026 Ibm Consulting Internship - Business Transformation Consultant (Data Analytics),Ibm,"Data Analytics Exposure, Cognitive Computing Interest, Business Operations Understanding, Client Collaboration Exposure, Clear Communication Skills",Not disclosed,South Korea,0 - 1 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/2026-ibm-consulting-internship-business-transformation-consultant-data-analytics-ibm-south-korea-0-1-years-jobid-sdtprgQgyLFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,0,5
"Customer Solutions Engineer, High Touch, Data Analytics (English, Mandarin)",Google,"Technical Troubleshooting, Programming Languages, Data Management, Customer Advocacy, Cloud Services",Not disclosed,Singapore,6 - 9 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/customer-solutions-engineer-high-touch-data-analytics-english-mandarin-google-singapore-6-9-years-jobid-xiDXJe6koxFzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,6,5
Assistant Manager - Credit Risk,Analytics Vidhya,"Data Analytics, Sas, Vba",INR 360000 - 680000,Gurugram,3 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/assistant-manager-credit-risk-analytics-vidhya-gurugram-delhi-delhincr-bengaluru-3-5-years-jobid-xgvea6kRNdRzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,3,3
"Data Analytics, Artificial Intelligence / Machine Language Software Engineer  Nlp People",Nlp People,"Python Programming, R Language Expertise, SQL Queries, Data Analytics, Natural Language Processing",Not disclosed,Delhi,2 - 6 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/data-analytics-artificial-intelligence-machine-language-software-engineer-nlp-people-nlp-people-delhi-2-6-years-jobid-DHRHWII+naBzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
Business Analyst/Senior Business Analyst - Data Analytics  Bfsi Gurgaon (2-5 Years Of Experience),Analytics Vidhya,"Data Analytics, SAS Experience, Excel Proficiency, BFSI Knowledge, Problem Solving",Not disclosed,Gurugram,2 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/business-analystsenior-business-analyst-data-analytics-bfsi-gurgaon-2-5-years-of-experience-analytics-vidhya-gurugram-2-5-years-jobid-FX9i2pH4s5VzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,2,5
Solution Sales Expert - Data Analytics & Ai (Gurgaon - North) Job Details | Sap,Sap,"Solution Sales Expertise, Account Management, Customer Value Realization, Relationship Building, AI Innovation Strategy",Not disclosed,Gurugram,12 - 15 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/solution-sales-expert-data-analytics-ai-gurgaon-north-job-details-sap-sap-gurugram-12-15-years-jobid-cHNp6iJ8HRBzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,12,5
Solution Sales Expert - Data Analytics & Ai (Bengaluru - South Region) Job Details | Sap,Sap,"Solution Sales Expertise, Account Management, Customer Success, Strategic Thinking, Innovation Leadership",Not disclosed,Bengaluru,1 - 4 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/solution-sales-expert-data-analytics-ai-bengaluru-south-region-job-details-sap-sap-bengaluru-1-4-years-jobid-JXHutC__SLASH__o2whzpSvf+uAgZw==&source=srp,0,0,0.0,0.0,Not disclosed,1,5
Senior Consultant,Analytics Vidhya,"Advanced Analytics, Data Analytics, Sas, Predictive Modeling",INR 360000 - 680000,Mumbai,4 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/senior-consultant-analytics-vidhya-mumbai-bengaluru-4-5-years-jobid-B2csFzS__SLASH__YnRzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,4,4
Senior Business Analyst (Credit Risk Analytics),Analytics Vidhya,"Senior Business Analyst, Data Analytics, Sas, Vba",INR 360000 - 680000,Gurugram,2 - 5 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/senior-business-analyst-credit-risk-analytics-analytics-vidhya-gurugram-delhi-delhincr-bengaluru-2-5-years-jobid-H__SLASH__UP7oIlPN9zpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,2,4
Group Manager & Deputy Manager L2 Support Of Sequel Insurance,Axmiyan Hr Solutions Private Limited,"Data Analytics, Maintenance, Insurance Platform Set Up",INR 360000 - 680000,Pune,9 - 10 Yrs,2026-03-13,https://www.timesjobs.com/job-detail/group-manager-deputy-manager-l2-support-of-sequel-insurance-axmiyan-hr-solutions-private-limited-pune-9-10-years-jobid-Fl7ReZ3shhpzpSvf+uAgZw==&source=srp,360000,680000,3.6,6.8,3.6 - 6.8 LPA,9,3
